DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT13R,DA0912DR13R,DAGC4X13R,DAGC5X12R,DA0GR13N,DA0GH13N,DA00A001S14R,DA00AR01S14R,DA00AW01S14R,DA00AM01S14R,DA00AC01S14R,DA00AS01S14R,DB00A001S14R,DH00A001S14R,DW00A001S14R,DI00A001S14R,D300A001S14R,D400A001S14R,D200A001S14R,DE00A001S14R,DA0CT13R,DA0CC13R,DA0CSA13R,DA0CAA13R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CENTER ISD,210901,210 SHELBY,07,Met Standard,5,2768,20.1,41.9,33.4,0.1,2.7,0.2,1.6,75.2,30,8.4,27.9,24,6.4,96.2,1.5,93.8,95.8,141,127,69,68,66,71,73,66,56,68,79,-1,59,-1,54,64,78.7,16.2,1329,17.9,362.5,191.5,1.7,3.6,9.7,52.8,15.5,16.8,98287,74752,49457,42883,22.6,7.6,14.5,39.3,11.5,17.4,18.4,6.8,6.3,85.9,1,74.8,9.9,6.3,2,7.1,0,212102,1.334,26896267,9780,54.4,32.1,13.5,3491973,0,26207108,23466521,8533,54,6.7,5.1,9.7,24.4,12676757,4610,50.6,12.6,18.4,2.1,6.2,0.9,3.5,0.1,4.9,0.6,"1,600 to 2,999",Independent Town,"$200,649 to < $226,769",$1.2365 to under $1.3593
JOAQUIN ISD,210902,210 SHELBY,07,Met Standard,3,751,5.3,14.2,78.4,0.1,0.3,0.1,1.5,62.5,6.1,10.9,6.1,32.9,3.9,94.3,1.3,93.8,92.2,45,41,85,86,78,91,83,78,80,82,87,-1,-1,-1,73,82,46.7,23.8,-1,21.6,120.6,61.5,1.7,4.7,5.7,51,13.3,23.7,87581,70939,50560,44530,8.3,6.2,12.2,26.5,14.9,17,14.7,0,1.6,98.4,0,71.1,11.6,8.4,1.6,6.8,0.5,275431,1.545,8595529,11522,49.5,40.9,9.6,1440881,0,9062212,7889080,10575,52.3,10.1,5.9,10.5,21.1,4125218,5530,54.3,17.8,13,0.9,5.6,0.5,4.4,0.9,2.1,0.6,500 to 999,Rural,"$259,094 to < $282,185",$1.3593 and over
SHELBYVILLE ISD,210903,210 SHELBY,07,Met Standard,1,830,21.7,10.5,65.4,0,0.1,0,2.3,61.2,5.3,8.9,5.3,28,2.9,95.9,0,100,100,42,40,79,80,85,82,73,66,67,77,83,.,.,.,83,74,54.8,21.7,-1,20.8,110.9,61.5,1.8,6.3,3.6,55.4,10.7,22.1,96249,70994,50238,47002,17.6,7.5,13.5,21.9,14.4,14.6,8.6,6.5,0,93.5,0,81.6,6.1,5.9,0,5.5,0.9,297439,1.166,8607349,10446,47.1,44,8.9,3071072,0,8240994,7772158,9432,52.6,9.1,4.3,13.3,20.7,4086812,4960,64.4,9.9,11.6,0.5,5,0.9,6.1,1,0,0.6,500 to 999,Rural,"$282,185 to < $299,922",$1.1251 to under $1.2365
TENAHA ISD,210904,210 SHELBY,07,Met Standard,1,579,25.4,37.5,34.9,0,0,0,2.2,85.5,21.1,13,21.1,31.1,9.8,96.3,0,95.8,100,23,16,74,77,75,82,64,59,67,74,80,.,.,.,77,72,39.1,11.1,1393,18.7,85,43.3,1.2,2.4,5.1,51,11.1,29.3,103035,84938,56614,51201,21.1,6.8,13.4,27.7,12.3,23.8,19.2,9.2,2.3,88.5,0,75.6,9.8,4.6,0.5,9.6,0,174301,1.187,7399767,12937,66.2,20.3,13.5,1300859,0,7669293,6220993,10876,49.9,11.1,4.5,11.2,23.4,3101653,5422,36,14.3,28.7,2.7,5.9,0.4,10.5,1.1,0.5,0,500 to 999,Non-metropolitan Fast Growing,"$151,909 to < $181,217",$1.1251 to under $1.2365
TIMPSON ISD,210905,210 SHELBY,07,Met Standard,3,628,24.7,13.4,58.4,0,0.5,0,3,72.3,5.7,11.9,5.7,21.7,2.5,96.4,0,97.1,100,35,27,78,79,70,85,70,67,65,84,83,.,.,.,75,74,54.3,10.5,.,20.9,106.2,52.7,2.4,3.8,5.7,49.6,10.3,28.3,83113,74963,47730,44576,12.2,5.9,11.9,44.1,11.2,16.1,11.8,11.4,1.9,86.7,0,84.9,5.1,2.8,1.7,5.5,0,231398,1.17,7486837,11626,60.5,26.1,13.4,4608214,0,7025186,6723720,10441,48.4,7.6,7.9,13.7,22.3,3254783,5054,54.7,15.6,14.7,0.5,6.1,0.2,4.7,0.8,2.8,0,500 to 999,Rural,"$226,769 to < $239,665",$1.1251 to under $1.2365
EXCELSIOR ISD,210906,210 SHELBY,07,Met Standard,1,95,1.1,6.3,92.6,0,0,0,0,63.2,1.1,18.9,1.1,6.3,1.1,96,.,.,.,.,.,84,98,90,77,75,-1,-1,100,84,.,.,.,.,84,.,.,.,.,25,13,8.7,0,0,51.9,19.6,19.8,62200,.,.,38904,0,3.8,7.3,7.7,14.1,23.1,8.3,0,0,100,0,97.3,0,2.7,0,0,0,363520,1.17,1355067,11387,42.2,49.3,8.5,200758,0,1390750,1231575,10349,56.6,19,0.3,10.4,13.7,697301,5860,58,14.7,19.5,0.3,0,0.1,0.5,0,7,0,Under 500,Rural,"$340,343 to < $382,231",$1.1251 to under $1.2365
TEXHOMA ISD,211901,211 SHERMAN,16,Met Standard,1,384,0.3,45.1,54.7,0,0,0,0,32.6,33.9,8.6,33.6,0,15.6,96.9,0,-1,93.9,.,.,64,67,54,67,.,.,.,63,65,.,.,.,.,62,.,.,.,.,30.3,15,6.6,0,3.3,49.5,23.1,17.5,87873,.,64336,39575,26.2,12.7,25.6,20,9.3,20,7.1,6.7,6.7,86.7,0,80,6.7,13.3,0,0,0,394979,1.194,1996034,5366,21.1,73.5,5.4,399428,0,2339300,2058303,5533,50,15.4,3.8,18.2,12.6,1029917,2769,69.1,7.7,8.1,1.4,0,4.7,0,0,9,0,Under 500,Non-metropolitan Fast Growing,"$382,231 to < $400,089",$1.1251 to under $1.2365
STRATFORD ISD,211902,211 SHERMAN,16,Met Standard,3,620,0.6,63.4,34,0.2,0.3,0,1.5,58.7,17.4,7.6,17.4,23.7,3.4,96.9,1.6,94.6,93.5,35,28,83,83,80,83,86,84,100,78,92,.,83,.,100,78,71.4,40,1612,22.7,101.9,60.3,1,3.8,1.8,59.1,13.2,21.1,103800,69377,54644,46823,21.3,6.1,10.3,32.5,16.3,19.7,15,1.7,6.5,91.8,0,79.1,7.1,3,1.6,5.9,3.2,738202,1.084,6913259,11698,16.5,77.5,6,854440,0,6453151,6164762,10431,63.4,7.2,5.1,9,15.3,3909432,6615,59.8,9.5,13.8,2.9,6,0.3,4.3,1.5,1.9,0.1,500 to 999,Rural,"$683,703 to < $2,233,241",Under $1.1251
CUMBERLAND ACADEMY,212801,212 SMITH,07,Met Standard,2,852,15,19.2,58.8,0.1,4.1,0,2.7,35.2,3.3,6.8,0,0,0,96.2,.,.,.,.,.,78,80,71,78,78,.,69,78,80,-1,81,.,85,74,.,.,.,.,100.5,66,2,1,5,65.7,3,23.4,69000,60000,33128,37532,18.9,8.5,12.9,80.3,3,15.2,19.4,7.6,4.5,86.4,1.5,91,9,0,0,0,0,.,.,3782806,7832,90.5,1.7,7.9,0,0,3785467,3464016,7172,72.5,8.5,4.1,8.8,6,2512495,5202,84.3,7.3,8.2,0,0,0,0.1,0,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
AZLEWAY CHARTER SCHOOL,212803,212 SMITH,07,Not Rated,2,162,24.7,11.1,61.7,0,0,0,2.5,96.3,0,50,0,59.9,0,96.9,2.2,60,58.8,10,1,38,41,-1,35,46,32,31,-1,44,.,.,.,36,37,10,-1,.,-1,45.8,24,0,8.7,4.4,52.3,0,34.6,.,62750,54916,44174,19.3,3.5,6.8,37.5,10.3,20.8,48.3,16.7,0,83.3,0,91.3,8.4,0,0,0.3,0,.,.,3077330,19114,78.3,2.7,19,0,-143127,3046231,3046231,18921,66.6,8.5,6.8,7.2,10.9,2028735,12601,88.2,9.5,2.2,0,0,0,0.2,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
UT TYLER INNOVATION ACADEMY,212804,212 SMITH,07,Met Standard,3,467,6.2,9,79,0.6,2.6,0,2.6,22.3,0,6.9,0,0,7.9,99.2,.,.,.,.,.,65,74,53,59,67,.,46,62,66,75,50,.,88,57,.,.,.,.,49.2,28,8.1,2,5.2,57,17.5,10.2,76984,66000,51368,44934,8,9.5,16.7,89.3,1.9,39.3,26.7,3.6,3.6,92.9,0,100,0,0,0,0,0,.,.,1901289,6839,96.6,0.8,2.6,0,-142821,2206401,2206401,7937,61.8,30.3,0.6,1.9,5.3,1363345,4904,95.2,4.3,0.5,0,0,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
ARP ISD,212901,212 SMITH,07,Met Standard,3,879,14.3,11.4,70,0.2,0.6,0,3.5,53.5,2,7.5,1.9,27.6,6.8,95.6,0.7,96.9,95.4,64,55,82,81,77,84,84,82,73,83,83,-1,100,-1,89,78,43.8,28.6,1464,19.8,158.4,77.5,2.8,3.2,6,49,11,28.2,69074,77218,55658,40841,17,5.6,11.3,30.1,11.1,9.5,10.8,3.9,0,96.1,0,85.4,5.6,2.7,0,6.2,0,406562,1.27,10106774,11446,44.8,47.1,8,2575455,0,10180554,9265896,10494,49.9,8.8,6.7,11,23.6,4626775,5240,55.2,21.3,7.7,0.4,4.4,0.6,5.9,1,3.7,0,500 to 999,Non-metropolitan Stable,"$400,089 to < $441,532",$1.2365 to under $1.3593
BULLARD ISD,212902,212 SMITH,07,Met Standard,5,2310,4.3,7.2,84.5,0.9,0.3,0,2.7,34.8,2.2,11,2.2,30.7,4.4,95.6,0.3,95.6,100,127,105,85,87,79,87,85,81,74,78,86,77,100,.,86,80,57.5,30.1,1427,22.2,320.9,168.1,0.6,3,4.7,52.4,10.4,28.9,111336,72932,55386,41933,12.1,7.2,13.7,27.8,11.8,15.5,11.4,3,0.6,95.8,0.6,77.4,6.7,7.2,0.8,6.2,1.6,350154,1.47,20775034,9543,35.2,60.3,4.4,3725535,0,19840177,16777445,7707,52.2,7.5,5.3,12.9,22.1,8752047,4020,67.1,9.4,7.3,0.1,6.1,0.3,6.6,0.9,2.1,0,"1,600 to 2,999",Other Central City Suburban,"$340,343 to < $382,231",$1.3593 and over
LINDALE ISD,212903,212 SMITH,07,Met Standard,6,3816,6.9,13.6,73.6,0.4,1.2,0,4.2,45.9,3.4,9.4,3.2,23.7,7.3,96.6,0.1,98.4,100,258,156,88,89,81,89,86,90,75,81,90,90,95,.,85,81,59.3,25.5,1466,21.9,523.4,256.2,1.1,2.3,7,49,9.7,30.9,99876,67960,47034,43532,8.2,7.3,14.9,27.2,13.2,19.7,12,1.2,1.2,97.7,0,76.1,8.1,9.1,0.5,5.5,0.6,280075,1.455,34919213,9317,43.8,49.1,7.1,6285163,0,34257567,28601867,7631,56.3,4.8,4.8,13.1,21,16097714,4295,60.6,14.1,9.3,0.6,5.1,0.7,3.6,2.9,2.5,0.7,"3,000 to 4,999",Other Central City Suburban,"$259,094 to < $282,185",$1.3593 and over
TROUP ISD,212904,212 SMITH,07,Met Standard,3,1104,12.6,10.6,72.6,0.5,0.5,0.3,2.8,54.3,4.1,8.2,4.1,25.5,6.3,96.4,0,97.3,100,69,65,88,89,88,88,85,84,77,91,89,100,100,-1,82,83,60.9,33.3,1527,21.6,165.2,82.2,1.1,4.2,6.4,49.8,6.6,31.8,77018,71625,55221,42132,17.2,6.7,13.4,40.1,11.5,12.3,14.9,6.1,1.2,91.5,1.2,77.2,7.4,8.5,0,6.9,0,291513,1.108,11374395,10120,59.6,33.8,6.6,5902257,0,12055779,10215290,9088,53.7,5.8,6,12.4,22.2,5482395,4878,55.7,10.8,15.9,0.5,6.3,0.8,5.6,1.1,1.3,1.9,"1,000 to 1,599",Non-metropolitan Stable,"$282,185 to < $299,922",Under $1.1251
TYLER ISD,212905,212 SMITH,07,Met Standard,27,17993,30.3,44.3,22.1,0.3,1.3,0.1,1.7,71.8,21.6,7.4,19.5,26.4,9.8,96.1,0.5,91.5,95.1,957,726,68,69,61,69,69,70,59,66,85,76,91,72,78,63,56,17.9,1379,19.1,2533.2,1272.6,0.7,3.1,12.5,50.2,9.5,24,102248,68458,53307,46639,41.7,7.1,14.1,37.5,12,28.2,20.7,17.3,13.3,66.4,3.1,67.4,8.6,3,11.1,4.5,5.5,390215,1.375,183375502,10067,27.7,57.9,14.4,22474529,0,193071973,154185934,8464,58.3,5.2,6,10.1,20.4,89908771,4936,60.2,14.3,14.2,2,3.4,0.9,2.5,1,0.3,1.3,"10,000 to 24,999",Other Central City,"$382,231 to < $400,089",$1.3593 and over
WHITEHOUSE ISD,212906,212 SMITH,07,Met Standard,7,4582,11.3,11.7,70.1,0.7,3,0.1,3,38.1,2.9,8.7,2.6,23.9,7.7,96.2,0.3,96.4,95.8,328,253,88,88,86,89,87,87,73,88,90,87,97,100,79,79,55.8,34.4,1497,22.6,569.3,303.2,1.8,2.9,8,53.3,12.2,21.9,88557,72137,57198,46480,11.8,8,15.1,23.8,13,18.3,17.1,1.6,2,94.7,1.6,72.8,6.5,8.5,0.1,4.8,7.4,353863,1.193,36982763,8045,35.1,57.5,7.4,5851821,0,37845088,34792857,7569,56.6,5.1,5.8,12.6,19.9,19680715,4281,63.7,11.1,4.8,0.3,5.3,2.8,4.6,2.7,2.3,2.5,"3,000 to 4,999",Other Central City Suburban,"$340,343 to < $382,231",$1.1251 to under $1.2365
CHAPEL HILL ISD,212909,212 SMITH,07,Met Standard,5,3488,18.1,41.7,36,0.3,1,0.1,2.7,71.3,18.1,6.9,20.3,29.5,4.7,96.3,2.5,95.3,93.9,231,197,73,72,66,73,80,72,65,68,82,75,78,.,85,67,64.9,10.7,1268,18.7,493.6,229.1,1,3.7,9.2,46.4,10.9,28.8,102957,71530,52008,45412,26.3,7.1,15.2,28.3,13.3,20.6,16.2,10.9,7.9,80.4,0.9,56.5,7.6,9.5,14.1,6.6,5.7,313777,1.245,32114579,9330,42.5,47.7,9.8,4541762,0,31314166,28238565,8204,56.9,5.4,6,10.5,21.2,16078904,4671,59.8,12.4,12.2,2.2,5.6,0.8,3.9,1.3,0.7,1.2,"3,000 to 4,999",Other Central City Suburban,"$312,844 to < $324,855",$1.2365 to under $1.3593
WINONA ISD,212910,212 SMITH,07,Met Standard,5,1020,19.4,22.7,55.9,0.2,0.1,0,1.7,58.3,3.1,11.5,3.1,24.5,7.3,95.8,1.3,98.4,94.8,60,52,73,77,73,70,72,69,64,69,79,-1,.,.,73,70,46.7,32.1,1444,22.1,164.6,67.3,0.7,3.5,4.7,40.9,12.8,37.4,104033,62070,50662,43077,17.2,6.2,15.2,25.3,12.1,14.8,35.5,5.9,3,91.1,0,80.7,8.7,0,0,7.4,3.2,359107,1.442,10850439,10648,35.7,53.2,11.2,2691120,0,10866556,8735274,8572,49.2,9.6,6.3,11.8,23.1,4294998,4215,62.5,16.4,10.7,1.2,5.9,0.3,2,0.8,0,0.3,"1,000 to 1,599",Other Central City Suburban,"$340,343 to < $382,231",$1.3593 and over
BRAZOS RIVER CHARTER SCHOOL,213801,213 SOMERVELL,11,Met Alternative Standard,1,206,10.2,16,69.9,1,0.5,0,2.4,59.7,0,14.1,0,29.6,0,93.2,4.5,79.5,83.1,70,12,76,69,.,71,79,90,-1,71,76,.,.,.,-1,75,8.6,16.7,1317,.,27.2,15.8,0.9,5.5,8.3,58.2,12.8,14.4,-2,66000,81111,43663,20.2,7.6,13,28.3,12.6,24.1,19.1,12.6,0,87.4,0,81.8,4,0,0,14.2,0,.,.,1864074,8248,93.3,0.5,6.2,0,274,1808193,1807500,7998,56,23.6,6.7,6,7.7,1012548,4480,43.8,10.1,23.3,0,18.3,0,0,4.6,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
GLEN ROSE ISD,213901,213 SOMERVELL,11,Met Standard,4,1650,0.4,29.3,66.2,1.2,0.8,0.1,1.9,44.1,8.5,6.4,8.5,24.1,7.2,96.2,0.4,99.2,97.6,135,101,86,87,78,85,90,81,54,81,88,85,95,-1,86,80,73.3,30.3,1453,20.8,244.2,135.9,1.5,2.2,8.9,55.7,6.1,25.5,110519,81626,56432,54826,15.9,6.8,12.1,13.9,15.6,25.3,6.2,0,7.4,90.4,2.2,73.2,7.8,4.5,2.6,5.8,6.2,2099005,0.894,24067817,14258,18.8,75.7,5.5,7688536,0,24178574,19771826,11713,56.7,7.7,4.2,11.2,20.1,11216402,6645,55,17.7,5.7,3.1,4.9,5.4,4.8,1.2,1.5,0.6,"1,600 to 2,999",Non-metropolitan Stable,"$683,703 to < $2,233,241",Under $1.1251
RIO GRANDE CITY CISD,214901,214 STARR,01,Met Standard,14,10851,0,98.7,1,0,0.2,0,0,96.8,61,9.4,61.2,26.1,13.4,94.4,0.8,95.5,95.2,710,658,70,66,71,75,71,70,-1,70,86,-1,100,.,.,70,54.5,8,1322,17.6,1943.6,781.4,0.6,2.2,6.8,40.2,10.4,39.8,108648,68207,63577,48234,96.6,5.6,13.9,22.1,11.5,7.7,6.9,0,93.3,4.4,2.3,88.8,4.6,0.1,0.2,5.5,0.8,107378,1.443,119161416,11038,67.7,14,18.3,18148641,0,149431378,104296336,9661,54.8,4.4,5.2,13.9,21.8,57109654,5290,50.1,13.9,20.9,3.7,4.1,0.2,4.1,1,1.9,0,"10,000 to 24,999",Other Central City Suburban,"$101,960 to < $151,909",$1.3593 and over
SAN ISIDRO ISD,214902,214 STARR,01,Met Standard,2,258,0.8,98.8,0.4,0,0,0,0,85.3,14,10.5,13.6,27.5,1.2,97,1.3,100,93.8,20,19,80,84,92,76,83,64,-1,80,.,.,.,.,.,80,80,0,.,16.8,55.4,24,2.7,1.8,4.5,43.3,14.4,33.2,93289,83000,65800,49337,94.6,4.7,10.7,25,16.9,0,4.2,0,91.7,8.3,0,84.7,6.1,0.1,0,9.1,0,902232,1.13,3586825,13638,26.5,63,10.5,512976,0,3865024,3582369,13621,53.6,11.9,5.6,12.8,16.1,1920700,7303,62.7,12.1,11.5,2.1,8.3,0.5,2.6,0,0.3,0,Under 500,Rural,"$683,703 to < $2,233,241",$1.1251 to under $1.2365
ROMA ISD,214903,214 STARR,01,Met Standard,10,6475,0,100,0,0,0,0,0,91.3,71.2,4.5,71,21.8,8.2,95.4,2.3,90.5,91.4,359,332,76,71,72,83,79,70,-1,76,.,.,.,.,.,75,72.1,5.8,-1,17.4,948.6,447,1.3,2.9,5.8,47.1,11.9,31,91836,69585,59241,49208,97.8,6.8,14.5,26.7,11.3,20.4,6,0.4,95.1,4,0.4,45,5.6,5.6,38.4,5,0.4,56219,1.459,72790328,11235,72.9,9,18.1,24016692,0,74685924,61118885,9433,54.3,5,5,13.8,21.9,33204794,5125,52.1,8.5,22.3,5.6,4.1,0.3,3.4,1.1,2.7,0,"5,000 to 9,999",Independent Town,"Under $101,960",$1.3593 and over
BRECKENRIDGE ISD,215901,215 STEPHENS,14,Met Standard,5,1510,2.1,33.8,60.7,1.5,0.5,0.1,1.3,63.2,7.4,9.5,8,32.5,6.1,95.6,0.5,94.9,98.9,73,64,78,76,66,85,82,70,92,73,80,76,85,-1,87,72,39.7,27.6,1461,20.1,218.9,117.4,0.9,2.4,5.7,53.6,10.5,26.9,113026,71854,45796,41353,19.9,6.9,12.9,33.2,11.7,17.8,25.6,2.6,8.5,87.2,1.7,76.7,4,8.8,3.9,4.3,2.2,527575,1.103,13747666,9436,22.5,66,11.5,2226484,0,13213602,12253537,8410,52.6,6.6,6,12.2,22.6,6446131,4424,59,13.6,11.4,1.7,4.3,0.3,7.5,0,1.2,1,"1,000 to 1,599",Non-metropolitan Stable,"$525,059 to < $683,703",Under $1.1251
STERLING CITY ISD,216901,216 STERLING,15,Met Standard,6,314,0.6,46.5,48.7,0.6,0,0,3.5,45.5,3.5,9.6,3.8,22.9,4.8,96,0,93.8,100,15,15,76,78,74,79,76,60,-1,66,86,.,.,.,88,71,60,33.3,.,20.2,51.2,28,2,3.9,2.9,54.7,5.9,30.7,98004,69815,48672,43083,15.1,6.1,11.2,25,11.9,7.5,30.4,0,3.6,92.9,3.6,84.9,4.3,3.6,0,7.1,0,1696829,1.24,7415407,28195,20.5,75,4.6,1240032,0,8030130,3182424,12100,48.2,10.3,6.6,14.6,20.2,1534325,5834,61.4,10.1,7.5,0,11.6,0.3,6.7,1.7,0,0.7,Under 500,Non-metropolitan Fast Growing,"$683,703 to < $2,233,241",$1.2365 to under $1.3593
ASPERMONT ISD,217901,217 STONEWALL,14,Met Standard,2,241,3.3,29,66,0,1.2,0,0.4,56,2.1,7.5,2.1,34.4,3.3,97.4,1.6,93.8,100,16,13,84,85,82,86,76,80,100,71,89,.,-1,.,.,78,56.3,11.1,.,21,44.8,24.1,2.2,4.5,2,53.9,15.6,21.8,73210,58700,44460,37063,4.5,5.4,10,45.6,9.6,12.4,23.1,0,0,100,0,73.5,10.4,2.7,0,13.4,0,1007611,1,4203352,16614,5.7,89.1,5.2,1350480,0,4213519,3724305,14721,41.6,27.7,5.1,11.4,14.2,1550850,6130,55.8,11.3,10.5,0.1,11.6,0.5,10.3,0,0,0,Under 500,Rural,"$683,703 to < $2,233,241",Under $1.1251
SONORA ISD,218901,218 SUTTON,15,Met Standard,4,948,0.5,69.3,28.7,0.1,0.2,0,1.2,52.3,9.7,10.3,10,26.4,2.4,96.9,0.4,95,98.4,58,58,82,76,86,87,83,81,86,78,90,-1,100,.,100,77,75.9,9.1,-1,18.8,171.4,90.6,1.2,1.8,6.2,52.9,14.6,23.4,87013,69258,52960,43681,38.5,5.5,10.5,29.8,13,19.1,7.5,0,19.1,80,0.9,74.4,5.9,7.8,1.8,6,4.1,835372,1.09,12317278,13216,30.4,63.4,6.3,6944267,0,13725214,11691305,12544,52.6,6.7,4.7,14.3,21.6,6154596,6604,62.8,10.4,11.4,1,3.8,0.4,6.8,0.9,2.4,0,500 to 999,Non-metropolitan Stable,"$683,703 to < $2,233,241",Under $1.1251
HAPPY ISD,219901,219 SWISHER,16,Met Standard,2,239,1.3,17.2,79.9,0,0,0,1.7,41,2.9,8.4,2.9,40.6,0.8,97,0,100,100,15,10,92,93,85,94,94,90,100,87,93,.,.,.,100,90,73.3,18.2,.,20.8,45.5,24.1,4.4,3,5.7,53,11,23,69998,60877,36874,42947,15.4,5.2,9.9,16.6,15.5,13,13.6,4.1,0,95.9,0,75.7,11.6,0,0,11.5,1.3,302537,1.04,2772934,11506,60.1,31.6,8.3,1064861,0,2763096,2577165,10694,52.8,10.7,3.6,13.3,19.5,1361730,5650,60.9,10.9,11.5,0.3,9.2,0.1,5.9,1.2,0,0,Under 500,Rural,"$299,922 to < $312,844",Under $1.1251
TULIA ISD,219903,219 SWISHER,16,Met Standard,4,1107,9.6,59.5,29.8,0.3,0.2,0,0.6,77.1,6.8,10.7,6.8,25.6,4.2,96.2,2.2,89,94.9,66,58,70,72,58,70,73,67,55,66,82,100,-1,.,87,65,45.5,13.3,-1,20.3,180.9,95.3,1.1,4.8,5.8,52.7,13.6,22,114405,69375,55934,45087,25.8,6.1,11.6,32.5,13,16.9,18.6,1,7.3,91.6,0,71.3,11.8,9.9,0.8,5.7,0.5,127397,1.16,11734315,10571,68.5,20.3,11.2,5218880,0,11515230,11174282,10067,58.9,7.6,5.4,8.1,20,6583342,5931,54.8,17.6,13.7,0.2,3.9,0.4,4.4,0.9,2.6,1.5,"1,000 to 1,599",Non-metropolitan Stable,"$101,960 to < $151,909",$1.1251 to under $1.2365
KRESS ISD,219905,219 SWISHER,16,Met Standard,2,209,7.2,55.5,35.4,0.5,0,1,0.5,75.6,5.3,10.5,5.3,34,2.4,95.3,1.5,92.9,100,16,13,81,79,65,86,89,84,54,75,92,.,.,-1,.,77,62.5,10,.,17.2,45,24,2.2,0,2.2,53.3,13.3,28.9,86500,.,35832,37326,42.2,4.6,8.7,41.7,10.3,4.2,14.8,0,20.8,79.2,0,80.5,6.5,2.6,0,10.4,0,246748,1.17,2649271,11322,60.6,30.3,9.1,753501,0,2709327,2574019,11000,54.6,11.4,5.8,12.9,15.2,1406071,6009,56.1,12.9,15.5,0.3,8.4,0.4,5.8,0.7,0,0,Under 500,Rural,"$239,665 to < $259,094",$1.1251 to under $1.2365
TREETOPS SCHOOL INTERNATIONAL,220801,220 TARRANT,11,Met Standard,1,342,16.4,9.9,61.1,1.2,3.2,0.9,7.3,14,0,6.4,0.6,0,0,96.2,0,100,-1,10,8,85,90,76,85,84,81,80,94,86,100,73,-1,79,86,30,-1,-1,-1,34.3,28.8,2.9,2.9,4.4,84,0,5.8,104238,63500,56332,46268,2.9,10,11.9,41,8.5,24.3,7.2,0,3.5,93.1,3.5,100,0,0,0,0,0,.,.,2428236,6958,96,1.9,2.1,0,466622,2352958,2352958,6742,72.9,11.9,3.9,9.9,1.4,1715693,4916,90.9,8.3,0,0,0,0,0,0.8,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
ARLINGTON CLASSICS ACADEMY,220802,220 TARRANT,11,Met Standard,3,1284,23.6,18.1,45.3,0.5,8.8,0.1,3.6,19.9,3.3,3.3,2.4,0,0,97.5,.,.,.,.,.,89,92,89,87,90,81,83,88,93,-1,92,.,90,85,.,.,.,.,107.5,72.9,2.3,5.1,10,67.8,1.9,13,90622,67158,47725,49100,19.9,11.9,17.6,26.6,9.4,23.6,20.5,6.9,7.5,82.9,2.7,95.9,4.1,0,0,0,0,.,.,8619396,7329,92.5,4.2,3.3,0,1020969,8018682,6776159,5762,61.5,8.7,6.1,15,8.6,4169441,3545,92.3,3.2,4.2,0.3,0,0,0,0,0,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
FORT WORTH ACADEMY OF FINE ARTS,220809,220 TARRANT,11,Met Standard,2,523,11.5,17.4,66.3,0.4,1.7,0.4,2.3,14.1,0.2,2.7,0.2,0,12,96.5,0,100,98.1,51,51,93,98,90,91,90,89,83,94,94,-1,100,100,93,91,-2,43.4,1590,22.8,60.2,42.8,1.7,3.3,10.4,71.2,1.1,12.4,68016,74788,30419,50269,10.4,8.7,12.2,51.4,6.4,26.8,18.8,2.3,5.5,88.7,3.5,98.8,1.2,0,0,0,0,.,.,3827410,7346,90.7,5.3,4,0,12049,3739721,3739721,7178,56,7.8,5.3,23.3,7.6,2094385,4020,88.3,4.9,4,0,0,0.5,0,2.4,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
